id,name,type1,type2,moves,weight,height,hp,attack,defense,sp_atk,sp_def,speed
177,natu,psychic,flying,"{'reflect', 'sunny-day', 'pluck', 'ally-switch', 'dazzling-gleam', 'roost', 'grass-knot', 'detect', 'steel-wing', 'synchronoise', 'telekinesis', 'double-team', 'psyshock', 'confide', 'captivate', 'protect', 'mimic', 'aerial-ace', 'trick-room', 'lucky-chant', 'me-first', 'psychic', 'frustration', 'heat-wave', 'peck', 'signal-beam', 'future-sight', 'toxic', 'drill-peck', 'psycho-shift', 'giga-drain', 'stored-power', 'ominous-wind', 'haze', 'thunder-wave', 'twister', 'rain-dance', 'sleep-talk', 'air-cutter', 'zen-headbutt', 'tailwind', 'swift', 'sky-attack', 'solar-beam', 'attract', 'u-turn', 'silver-wind', 'feint-attack', 'trick', 'rest', 'magic-coat', 'flash', 'swagger', 'power-swap', 'quick-attack', 'curse', 'teleport', 'double-edge', 'guard-swap', 'thief', 'confuse-ray', 'secret-power', 'facade', 'hidden-power', 'cosmic-power', 'night-shade', 'calm-mind', 'refresh', 'return', 'sucker-punch', 'magic-room', 'dream-eater', 'snore', 'psych-up', 'imprison', 'feather-dance', 'simple-beam', 'substitute', 'round', 'wish', 'endure', 'baton-pass', 'air-slash', 'natural-gift', 'light-screen', 'skill-swap', 'dual-wingbeat', 'miracle-eye', 'pain-split', 'shadow-ball', 'expanding-force', 'leer', 'nightmare'}",20,2,40,50,45,70,45,70
178,xatu,psychic,flying,"{'reflect', 'sunny-day', 'pluck', 'ally-switch', 'dazzling-gleam', 'roost', 'grass-knot', 'detect', 'steel-wing', 'telekinesis', 'double-team', 'psyshock', 'confide', 'captivate', 'protect', 'mimic', 'aerial-ace', 'trick-room', 'lucky-chant', 'me-first', 'psychic', 'frustration', 'heat-wave', 'fly', 'peck', 'signal-beam', 'future-sight', 'toxic', 'psycho-shift', 'giga-drain', 'foul-play', 'stored-power', 'ominous-wind', 'thunder-wave', 'twister', 'rain-dance', 'sleep-talk', 'air-cutter', 'zen-headbutt', 'laser-focus', 'tailwind', 'swift', 'sky-attack', 'solar-beam', 'attract', 'u-turn', 'hyper-beam', 'silver-wind', 'trick', 'defog', 'rest', 'magic-coat', 'flash', 'swagger', 'power-swap', 'curse', 'teleport', 'double-edge', 'guard-swap', 'thief', 'confuse-ray', 'secret-power', 'facade', 'hidden-power', 'cosmic-power', 'night-shade', 'calm-mind', 'return', 'sucker-punch', 'magic-room', 'dream-eater', 'snore', 'psych-up', 'imprison', 'substitute', 'round', 'wish', 'endure', 'baton-pass', 'air-slash', 'natural-gift', 'giga-impact', 'light-screen', 'skill-swap', 'dual-wingbeat', 'miracle-eye', 'pain-split', 'shadow-ball', 'expanding-force', 'leer', 'nightmare'}",150,15,65,75,70,95,70,95
179,mareep,electric,,"{'snore', 'reflect', 'rest', 'frustration', 'sunny-day', 'growl', 'defense-curl', 'flash', 'toxic', 'signal-beam', 'echoed-voice', 'electric-terrain', 'charge', 'swagger', 'safeguard', 'sand-attack', 'heal-bell', 'thunderbolt', 'thunder', 'dazzling-gleam', 'tackle', 'discharge', 'trailblaze', 'after-you', 'volt-switch', 'thunder-shock', 'dig', 'substitute', 'electro-ball', 'curse', 'round', 'eerie-impulse', 'tera-blast', 'double-team', 'thunder-wave', 'screech', 'sleep-talk', 'double-edge', 'rain-dance', 'confide', 'power-gem', 'captivate', 'wild-charge', 'swift', 'confuse-ray', 'helping-hand', 'endure', 'protect', 'mimic', 'secret-power', 'facade', 'magnet-rise', 'hidden-power', 'odor-sleuth', 'cotton-spore', 'flatter', 'light-screen', 'natural-gift', 'attract', 'take-down', 'body-slam', 'zap-cannon', 'return', 'shock-wave', 'agility', 'cotton-guard', 'charge-beam', 'electroweb', 'iron-tail', 'headbutt'}",78,6,55,40,40,65,45,35
180,flaaffy,electric,,"{'reflect', 'sunny-day', 'charge', 'safeguard', 'heal-bell', 'thunder', 'dazzling-gleam', 'fling', 'double-team', 'confide', 'power-gem', 'captivate', 'low-kick', 'protect', 'mimic', 'frustration', 'echoed-voice', 'signal-beam', 'growl', 'toxic', 'discharge', 'thunder-shock', 'tera-blast', 'thunder-wave', 'rain-dance', 'sleep-talk', 'swift', 'roar', 'thunder-punch', 'attract', 'brick-break', 'cotton-guard', 'headbutt', 'mega-kick', 'mega-punch', 'fire-punch', 'rest', 'electric-terrain', 'flash', 'counter', 'focus-punch', 'swagger', 'thunderbolt', 'trailblaze', 'curse', 'double-edge', 'wild-charge', 'confuse-ray', 'secret-power', 'dynamic-punch', 'facade', 'magnet-rise', 'hidden-power', 'cotton-spore', 'return', 'electroweb', 'ice-punch', 'iron-tail', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'tackle', 'after-you', 'volt-switch', 'dig', 'substitute', 'electro-ball', 'eerie-impulse', 'round', 'power-up-punch', 'helping-hand', 'endure', 'strength', 'natural-gift', 'light-screen', 'body-slam', 'take-down', 'zap-cannon', 'shock-wave', 'agility', 'charge-beam'}",133,8,70,55,55,80,60,45
181,ampharos,electric,,"{'reflect', 'sunny-day', 'charge', 'safeguard', 'heal-bell', 'thunder', 'dazzling-gleam', 'fling', 'dragon-tail', 'double-team', 'confide', 'power-gem', 'outrage', 'captivate', 'low-kick', 'protect', 'mimic', 'frustration', 'echoed-voice', 'signal-beam', 'growl', 'stomping-tantrum', 'toxic', 'discharge', 'thunder-shock', 'tera-blast', 'thunder-wave', 'rain-dance', 'sleep-talk', 'laser-focus', 'magnetic-flux', 'swift', 'roar', 'thunder-punch', 'attract', 'hyper-beam', 'brick-break', 'cotton-guard', 'headbutt', 'mega-kick', 'mega-punch', 'fire-punch', 'rest', 'electric-terrain', 'flash', 'counter', 'focus-punch', 'swagger', 'thunderbolt', 'trailblaze', 'curse', 'double-edge', 'wild-charge', 'confuse-ray', 'secret-power', 'dynamic-punch', 'facade', 'magnet-rise', 'bulldoze', 'hidden-power', 'cotton-spore', 'return', 'ion-deluge', 'electroweb', 'ice-punch', 'iron-tail', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'brutal-swing', 'tackle', 'dragon-pulse', 'after-you', 'volt-switch', 'dig', 'substitute', 'electro-ball', 'eerie-impulse', 'round', 'focus-blast', 'rock-climb', 'power-up-punch', 'helping-hand', 'endure', 'strength', 'natural-gift', 'giga-impact', 'light-screen', 'body-slam', 'take-down', 'zap-cannon', 'shock-wave', 'agility', 'charge-beam'}",615,14,90,75,85,115,90,55
182,bellossom,grass,,"{'snore', 'rest', 'sunny-day', 'flash', 'toxic', 'venoshock', 'swagger', 'safeguard', 'grassy-terrain', 'bullet-seed', 'synthesis', 'dazzling-gleam', 'leaf-storm', 'leaf-blade', 'grass-knot', 'giga-drain', 'moonblast', 'infestation', 'grassy-glide', 'charm', 'worry-seed', 'after-you', 'poison-powder', 'moonlight', 'play-rough', 'fling', 'petal-dance', 'sleep-powder', 'substitute', 'curse', 'sludge-bomb', 'drain-punch', 'round', 'double-team', 'swords-dance', 'sleep-talk', 'double-edge', 'mega-drain', 'confide', 'seed-bomb', 'laser-focus', 'captivate', 'uproar', 'helping-hand', 'endure', 'protect', 'mimic', 'nature-power', 'baton-pass', 'sweet-scent', 'secret-power', 'facade', 'quiver-dance', 'solar-beam', 'hidden-power', 'natural-gift', 'giga-impact', 'attract', 'growth', 'hyper-beam', 'acid', 'stun-spore', 'return', 'gastro-acid', 'energy-ball', 'petal-blizzard', 'cut', 'absorb', 'frustration', 'magical-leaf'}",58,4,75,80,95,90,100,50
183,marill,water,fairy,"{'aqua-ring', 'grass-knot', 'blizzard', 'metronome', 'fling', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'camouflage', 'aqua-tail', 'hail', 'dive', 'aqua-jet', 'copycat', 'misty-terrain', 'amnesia', 'frustration', 'bubble', 'whirlpool', 'future-sight', 'toxic', 'water-pulse', 'fake-tears', 'supersonic', 'tera-blast', 'water-gun', 'rain-dance', 'sleep-talk', 'knock-off', 'mud-shot', 'swift', 'chilling-water', 'superpower', 'present', 'hyper-voice', 'waterfall', 'attract', 'bounce', 'draining-kiss', 'brick-break', 'headbutt', 'mega-kick', 'mega-punch', 'rest', 'water-sport', 'perish-song', 'focus-punch', 'swagger', 'liquidation', 'rollout', 'trailblaze', 'splash', 'play-rough', 'curse', 'bubble-beam', 'double-edge', 'covet', 'slam', 'scald', 'work-up', 'secret-power', 'belly-drum', 'dynamic-punch', 'muddy-water', 'facade', 'bulldoze', 'hidden-power', 'tail-whip', 'surf', 'refresh', 'return', 'ice-punch', 'iron-tail', 'disarming-voice', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'sing', 'hydro-pump', 'misty-explosion', 'steel-roller', 'brutal-swing', 'tackle', 'charm', 'mud-slap', 'ice-beam', 'dig', 'substitute', 'round', 'icy-wind', 'encore', 'snowscape', 'power-up-punch', 'soak', 'uproar', 'helping-hand', 'endure', 'tickle', 'strength', 'natural-gift', 'light-screen', 'foresight', 'body-slam', 'take-down', 'ice-spinner'}",85,4,70,20,50,20,50,40
184,azumarill,water,fairy,"{'aqua-ring', 'grass-knot', 'blizzard', 'metronome', 'fling', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'aqua-tail', 'hail', 'dive', 'misty-terrain', 'amnesia', 'frustration', 'bubble', 'whirlpool', 'future-sight', 'toxic', 'water-pulse', 'fake-tears', 'tera-blast', 'water-gun', 'rain-dance', 'sleep-talk', 'knock-off', 'swift', 'mud-shot', 'chilling-water', 'superpower', 'hyper-voice', 'waterfall', 'attract', 'bounce', 'hyper-beam', 'draining-kiss', 'brick-break', 'headbutt', 'mega-kick', 'mega-punch', 'rest', 'water-sport', 'focus-punch', 'swagger', 'liquidation', 'rollout', 'trailblaze', 'splash', 'play-rough', 'curse', 'bubble-beam', 'double-edge', 'covet', 'slam', 'scald', 'work-up', 'secret-power', 'dynamic-punch', 'muddy-water', 'facade', 'bulldoze', 'hidden-power', 'tail-whip', 'surf', 'return', 'ice-punch', 'iron-tail', 'disarming-voice', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'hydro-pump', 'misty-explosion', 'steel-roller', 'brutal-swing', 'tackle', 'charm', 'mud-slap', 'ice-beam', 'dig', 'substitute', 'round', 'icy-wind', 'focus-blast', 'encore', 'snowscape', 'power-up-punch', 'uproar', 'helping-hand', 'endure', 'strength', 'natural-gift', 'giga-impact', 'light-screen', 'body-slam', 'take-down', 'ice-spinner'}",285,8,100,50,80,60,80,50
185,sudowoodo,rock,,"{'sandstorm', 'sunny-day', 'torment', 'stealth-rock', 'grass-knot', 'wood-hammer', 'rock-slide', 'tearful-look', 'fling', 'double-team', 'confide', 'power-gem', 'captivate', 'low-kick', 'protect', 'mimic', 'harden', 'copycat', 'body-press', 'stone-edge', 'frustration', 'smack-down', 'taunt', 'flail', 'stomping-tantrum', 'toxic', 'earthquake', 'fake-tears', 'earth-power', 'foul-play', 'high-horsepower', 'drain-punch', 'tera-blast', 'rock-blast', 'sleep-talk', 'mud-shot', 'rock-tomb', 'thunder-punch', 'attract', 'hyper-beam', 'iron-defense', 'brick-break', 'head-smash', 'spikes', 'low-sweep', 'feint-attack', 'headbutt', 'mega-kick', 'mega-punch', 'fire-punch', 'role-play', 'rest', 'counter', 'focus-punch', 'explosion', 'swagger', 'rollout', 'trailblaze', 'curse', 'meteor-beam', 'double-edge', 'covet', 'slam', 'thief', 'secret-power', 'dynamic-punch', 'facade', 'bulldoze', 'hidden-power', 'rock-polish', 'calm-mind', 'return', 'hammer-arm', 'ice-punch', 'sucker-punch', 'seismic-toss', 'rock-smash', 'snore', 'psych-up', 'defense-curl', 'block', 'rock-throw', 'after-you', 'mud-slap', 'self-destruct', 'dig', 'substitute', 'round', 'sand-tomb', 'power-up-punch', 'uproar', 'helping-hand', 'endure', 'nature-power', 'strength', 'natural-gift', 'giga-impact', 'body-slam', 'take-down'}",380,12,70,100,115,30,65,30
186,politoed,water,,"{'detect', 'blizzard', 'metronome', 'fling', 'double-team', 'confide', 'captivate', 'low-kick', 'protect', 'mimic', 'pound', 'hail', 'dive', 'payback', 'psychic', 'amnesia', 'frustration', 'whirlpool', 'echoed-voice', 'toxic', 'water-pulse', 'earthquake', 'double-slap', 'earth-power', 'haze', 'tera-blast', 'water-gun', 'rain-dance', 'sleep-talk', 'swift', 'mud-shot', 'chilling-water', 'hyper-voice', 'waterfall', 'attract', 'bounce', 'hyper-beam', 'brick-break', 'low-sweep', 'headbutt', 'mega-kick', 'mega-punch', 'weather-ball', 'rest', 'perish-song', 'counter', 'focus-punch', 'swagger', 'liquidation', 'splash', 'curse', 'bubble-beam', 'double-edge', 'thief', 'scald', 'secret-power', 'belly-drum', 'dynamic-punch', 'muddy-water', 'facade', 'bulldoze', 'hidden-power', 'surf', 'mist', 'return', 'ice-punch', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'endeavor', 'hydro-pump', 'mud-slap', 'ice-beam', 'dig', 'substitute', 'round', 'icy-wind', 'focus-blast', 'screech', 'encore', 'power-up-punch', 'uproar', 'helping-hand', 'endure', 'strength', 'natural-gift', 'giga-impact', 'body-slam', 'take-down', 'hypnosis'}",339,11,90,75,75,90,100,70
187,hoppip,grass,flying,"{'reflect', 'sunny-day', 'switcheroo', 'dazzling-gleam', 'grass-knot', 'fling', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'sweet-scent', 'aerial-ace', 'stun-spore', 'amnesia', 'absorb', 'frustration', 'magical-leaf', 'growl', 'toxic', 'pollen-puff', 'leaf-storm', 'giga-drain', 'infestation', 'worry-seed', 'tera-blast', 'swords-dance', 'sleep-talk', 'rain-dance', 'mega-drain', 'seed-bomb', 'tailwind', 'lunge', 'fairy-wind', 'solar-beam', 'confusion', 'attract', 'bounce', 'u-turn', 'cotton-guard', 'silver-wind', 'headbutt', 'rest', 'flash', 'rage-powder', 'swagger', 'grassy-terrain', 'synthesis', 'trailblaze', 'poison-powder', 'splash', 'pay-day', 'sleep-powder', 'curse', 'acrobatics', 'double-edge', 'thief', 'secret-power', 'memento', 'facade', 'hidden-power', 'tail-whip', 'cotton-spore', 'return', 'energy-ball', 'snore', 'psych-up', 'strength-sap', 'defense-curl', 'bullet-seed', 'tackle', 'aromatherapy', 'charm', 'leech-seed', 'substitute', 'round', 'encore', 'helping-hand', 'endure', 'baton-pass', 'natural-gift', 'light-screen', 'take-down'}",5,4,35,35,40,35,55,50
188,skiploom,grass,flying,"{'snore', 'psych-up', 'reflect', 'rest', 'frustration', 'sunny-day', 'defense-curl', 'flash', 'toxic', 'rage-powder', 'swagger', 'grassy-terrain', 'bullet-seed', 'synthesis', 'pollen-puff', 'dazzling-gleam', 'leaf-storm', 'grass-knot', 'giga-drain', 'infestation', 'tackle', 'trailblaze', 'charm', 'worry-seed', 'leech-seed', 'poison-powder', 'splash', 'fling', 'substitute', 'sleep-powder', 'curse', 'round', 'tera-blast', 'double-team', 'swords-dance', 'sleep-talk', 'double-edge', 'mega-drain', 'encore', 'seed-bomb', 'acrobatics', 'thief', 'captivate', 'confide', 'tailwind', 'helping-hand', 'secret-power', 'endure', 'protect', 'mimic', 'baton-pass', 'sweet-scent', 'memento', 'facade', 'lunge', 'aerial-ace', 'fairy-wind', 'solar-beam', 'tail-whip', 'cotton-spore', 'hidden-power', 'light-screen', 'natural-gift', 'attract', 'stun-spore', 'take-down', 'bounce', 'u-turn', 'return', 'energy-ball', 'silver-wind', 'absorb', 'headbutt', 'magical-leaf'}",10,6,55,45,50,45,65,80
189,jumpluff,grass,flying,"{'reflect', 'sunny-day', 'dazzling-gleam', 'grass-knot', 'fling', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'sweet-scent', 'aerial-ace', 'stun-spore', 'absorb', 'frustration', 'magical-leaf', 'toxic', 'pollen-puff', 'leaf-storm', 'giga-drain', 'infestation', 'worry-seed', 'tera-blast', 'swords-dance', 'sleep-talk', 'rain-dance', 'mega-drain', 'seed-bomb', 'tailwind', 'lunge', 'fairy-wind', 'solar-beam', 'attract', 'bounce', 'hyper-beam', 'u-turn', 'silver-wind', 'headbutt', 'rest', 'flash', 'rage-powder', 'swagger', 'grassy-terrain', 'synthesis', 'trailblaze', 'poison-powder', 'splash', 'sleep-powder', 'curse', 'acrobatics', 'double-edge', 'thief', 'secret-power', 'memento', 'facade', 'hidden-power', 'tail-whip', 'cotton-spore', 'return', 'energy-ball', 'snore', 'psych-up', 'defense-curl', 'bullet-seed', 'tackle', 'charm', 'leech-seed', 'substitute', 'round', 'encore', 'helping-hand', 'endure', 'baton-pass', 'giga-impact', 'natural-gift', 'light-screen', 'take-down'}",30,8,75,55,70,55,95,110
190,aipom,normal,,"{'sunny-day', 'thunder', 'switcheroo', 'revenge', 'grass-knot', 'detect', 'metronome', 'fling', 'scratch', 'double-team', 'confide', 'captivate', 'low-kick', 'protect', 'mimic', 'aerial-ace', 'payback', 'fury-swipes', 'shadow-claw', 'frustration', 'smack-down', 'taunt', 'fury-cutter', 'toxic', 'water-pulse', 'astonish', 'double-slap', 'foul-play', 'retaliate', 'tera-blast', 'pursuit', 'thunder-wave', 'rain-dance', 'sleep-talk', 'seed-bomb', 'knock-off', 'swift', 'mud-shot', 'chilling-water', 'solar-beam', 'thunder-punch', 'attract', 'bounce', 'u-turn', 'brick-break', 'low-sweep', 'headbutt', 'mega-kick', 'mega-punch', 'fire-punch', 'role-play', 'rest', 'counter', 'focus-punch', 'swagger', 'thunderbolt', 'trailblaze', 'nasty-plot', 'quick-guard', 'curse', 'fake-out', 'acrobatics', 'double-edge', 'covet', 'slam', 'thief', 'work-up', 'secret-power', 'dynamic-punch', 'facade', 'hidden-power', 'tail-whip', 'tail-slap', 'return', 'ice-punch', 'cut', 'iron-tail', 'seismic-toss', 'dream-eater', 'rock-smash', 'snore', 'snatch', 'defense-curl', 'sand-attack', 'spite', 'gunk-shot', 'beat-up', 'mud-slap', 'dig', 'substitute', 'round', 'screech', 'last-resort', 'power-up-punch', 'uproar', 'helping-hand', 'endure', 'double-hit', 'baton-pass', 'tickle', 'strength', 'natural-gift', 'hone-claws', 'body-slam', 'take-down', 'shadow-ball', 'zap-cannon', 'shock-wave', 'agility', 'nightmare'}",115,8,55,70,55,40,55,85
191,sunkern,grass,,"{'snore', 'rest', 'magical-leaf', 'sunny-day', 'flash', 'toxic', 'endeavor', 'swagger', 'safeguard', 'grassy-terrain', 'bullet-seed', 'morning-sun', 'razor-leaf', 'synthesis', 'leaf-storm', 'bide', 'giga-drain', 'grass-whistle', 'earth-power', 'tackle', 'grass-knot', 'trailblaze', 'worry-seed', 'after-you', 'leech-seed', 'substitute', 'sludge-bomb', 'curse', 'round', 'tera-blast', 'double-team', 'swords-dance', 'sleep-talk', 'double-edge', 'mega-drain', 'encore', 'rain-dance', 'seed-bomb', 'confide', 'captivate', 'uproar', 'helping-hand', 'endure', 'protect', 'mimic', 'nature-power', 'sweet-scent', 'ingrain', 'secret-power', 'facade', 'solar-beam', 'hidden-power', 'natural-gift', 'light-screen', 'attract', 'growth', 'take-down', 'return', 'energy-ball', 'cut', 'absorb', 'frustration', 'weather-ball'}",18,3,30,30,30,30,30,30
192,sunflora,grass,,"{'snore', 'rest', 'magical-leaf', 'sunny-day', 'flash', 'toxic', 'endeavor', 'swagger', 'safeguard', 'grassy-terrain', 'bullet-seed', 'razor-leaf', 'synthesis', 'dazzling-gleam', 'leaf-storm', 'grassy-glide', 'earth-power', 'giga-drain', 'grass-whistle', 'grass-knot', 'tackle', 'trailblaze', 'worry-seed', 'after-you', 'leech-seed', 'petal-dance', 'substitute', 'curse', 'sludge-bomb', 'round', 'tera-blast', 'double-team', 'swords-dance', 'sleep-talk', 'double-edge', 'mega-drain', 'encore', 'rain-dance', 'seed-bomb', 'confide', 'captivate', 'flower-shield', 'uproar', 'helping-hand', 'endure', 'protect', 'mimic', 'nature-power', 'sweet-scent', 'ingrain', 'secret-power', 'facade', 'pound', 'solar-beam', 'hidden-power', 'natural-gift', 'giga-impact', 'light-screen', 'attract', 'growth', 'take-down', 'hyper-beam', 'return', 'energy-ball', 'petal-blizzard', 'cut', 'absorb', 'frustration', 'weather-ball'}",85,8,75,75,55,105,85,30
193,yanma,bug,flying,"{'snore', 'wing-attack', 'rest', 'frustration', 'sunny-day', 'signal-beam', 'bug-buzz', 'flash', 'toxic', 'struggle-bug', 'swagger', 'gust', 'roost', 'giga-drain', 'tackle', 'detect', 'reversal', 'steel-wing', 'quick-attack', 'ancient-power', 'ominous-wind', 'supersonic', 'sonic-boom', 'substitute', 'tera-blast', 'curse', 'pursuit', 'whirlwind', 'round', 'double-team', 'screech', 'swords-dance', 'double-edge', 'sleep-talk', 'air-cutter', 'confide', 'leech-life', 'thief', 'captivate', 'bug-bite', 'pounce', 'string-shot', 'tailwind', 'swift', 'uproar', 'secret-power', 'endure', 'protect', 'mimic', 'air-slash', 'facade', 'lunge', 'aerial-ace', 'solar-beam', 'hidden-power', 'natural-gift', 'foresight', 'attract', 'take-down', 'u-turn', 'shadow-ball', 'return', 'silver-wind', 'hypnosis', 'psychic', 'feint-attack', 'feint', 'headbutt', 'defog', 'dream-eater'}",380,12,65,65,45,75,45,95
194,wooper,water,ground,"{'sandstorm', 'safeguard', 'stealth-rock', 'rock-slide', 'blizzard', 'double-team', 'confide', 'captivate', 'stockpile', 'protect', 'mimic', 'aqua-tail', 'hail', 'dive', 'sludge-wave', 'stone-edge', 'amnesia', 'frustration', 'whirlpool', 'stomping-tantrum', 'toxic', 'water-pulse', 'earthquake', 'earth-power', 'infestation', 'acid-spray', 'haze', 'tera-blast', 'water-gun', 'yawn', 'rain-dance', 'sleep-talk', 'mud-shot', 'chilling-water', 'rock-tomb', 'waterfall', 'attract', 'mud-sport', 'spikes', 'headbutt', 'rest', 'flash', 'counter', 'swagger', 'liquidation', 'rollout', 'trailblaze', 'ancient-power', 'curse', 'double-edge', 'guard-swap', 'slam', 'scald', 'secret-power', 'dynamic-punch', 'muddy-water', 'facade', 'bulldoze', 'hidden-power', 'tail-whip', 'surf', 'mist', 'return', 'ice-punch', 'iron-tail', 'rock-smash', 'snore', 'defense-curl', 'spit-up', 'mud-bomb', 'hydro-pump', 'after-you', 'mud-slap', 'ice-beam', 'dig', 'substitute', 'sludge-bomb', 'eerie-impulse', 'round', 'icy-wind', 'encore', 'double-kick', 'snowscape', 'power-up-punch', 'helping-hand', 'recover', 'endure', 'natural-gift', 'avalanche', 'body-slam', 'take-down', 'swallow'}",85,4,55,45,45,25,25,15
195,quagsire,water,ground,"{'sandstorm', 'safeguard', 'stealth-rock', 'rock-slide', 'blizzard', 'fling', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'aqua-tail', 'hail', 'dive', 'sludge-wave', 'body-press', 'stone-edge', 'amnesia', 'frustration', 'whirlpool', 'stomping-tantrum', 'toxic', 'water-pulse', 'earthquake', 'earth-power', 'infestation', 'acid-spray', 'high-horsepower', 'drain-punch', 'haze', 'tera-blast', 'water-gun', 'yawn', 'rain-dance', 'sleep-talk', 'mud-shot', 'chilling-water', 'rock-tomb', 'waterfall', 'attract', 'hyper-beam', 'toxic-spikes', 'brick-break', 'mud-sport', 'spikes', 'headbutt', 'mega-kick', 'mega-punch', 'rest', 'flash', 'counter', 'focus-punch', 'swagger', 'liquidation', 'rollout', 'trailblaze', 'ancient-power', 'curse', 'double-edge', 'guard-swap', 'slam', 'thief', 'scald', 'secret-power', 'dynamic-punch', 'muddy-water', 'facade', 'bulldoze', 'hidden-power', 'tail-whip', 'surf', 'mist', 'return', 'ice-punch', 'iron-tail', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'mud-bomb', 'hydro-pump', 'after-you', 'mud-slap', 'ice-beam', 'dig', 'substitute', 'sludge-bomb', 'eerie-impulse', 'round', 'icy-wind', 'focus-blast', 'encore', 'snowscape', 'power-up-punch', 'helping-hand', 'endure', 'strength', 'natural-gift', 'giga-impact', 'avalanche', 'body-slam', 'take-down'}",750,14,95,85,85,65,65,35
196,espeon,psychic,,"{'reflect', 'sunny-day', 'ally-switch', 'heal-bell', 'morning-sun', 'dazzling-gleam', 'grass-knot', 'detect', 'telekinesis', 'double-team', 'psyshock', 'confide', 'power-gem', 'psybeam', 'captivate', 'protect', 'mimic', 'trick-room', 'copycat', 'psychic', 'frustration', 'bite', 'magical-leaf', 'echoed-voice', 'signal-beam', 'future-sight', 'growl', 'toxic', 'baby-doll-eyes', 'fake-tears', 'stored-power', 'retaliate', 'gravity', 'tera-blast', 'thunder-wave', 'rain-dance', 'sleep-talk', 'zen-headbutt', 'laser-focus', 'swift', 'roar', 'hyper-voice', 'confusion', 'attract', 'hyper-beam', 'draining-kiss', 'psychic-terrain', 'trick', 'headbutt', 'weather-ball', 'rest', 'magic-coat', 'flash', 'swagger', 'power-swap', 'trailblaze', 'quick-attack', 'pay-day', 'curse', 'double-edge', 'covet', 'work-up', 'confuse-ray', 'secret-power', 'facade', 'hidden-power', 'tail-whip', 'calm-mind', 'return', 'cut', 'iron-tail', 'magic-room', 'dream-eater', 'snore', 'psych-up', 'imprison', 'psychic-fangs', 'sand-attack', 'focus-energy', 'tackle', 'charm', 'mud-slap', 'dig', 'substitute', 'round', 'last-resort', 'helping-hand', 'endure', 'baton-pass', 'natural-gift', 'giga-impact', 'light-screen', 'skill-swap', 'body-slam', 'take-down', 'shadow-ball', 'zap-cannon', 'expanding-force', 'nightmare'}",265,9,65,65,60,130,95,110
197,umbreon,dark,,"{'reflect', 'sunny-day', 'torment', 'heal-bell', 'detect', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'wonder-room', 'payback', 'copycat', 'assurance', 'psychic', 'frustration', 'bite', 'taunt', 'echoed-voice', 'growl', 'toxic', 'baby-doll-eyes', 'fake-tears', 'crunch', 'foul-play', 'stored-power', 'retaliate', 'lash-out', 'moonlight', 'tera-blast', 'pursuit', 'thunder-wave', 'rain-dance', 'sleep-talk', 'laser-focus', 'swift', 'roar', 'hyper-voice', 'attract', 'hyper-beam', 'feint-attack', 'dark-pulse', 'headbutt', 'weather-ball', 'scary-face', 'rest', 'flash', 'swagger', 'throat-chop', 'trailblaze', 'quick-attack', 'pay-day', 'curse', 'double-edge', 'covet', 'guard-swap', 'thief', 'work-up', 'confuse-ray', 'secret-power', 'facade', 'hidden-power', 'tail-whip', 'calm-mind', 'return', 'cut', 'iron-tail', 'sucker-punch', 'dream-eater', 'snore', 'psych-up', 'snarl', 'snatch', 'sand-attack', 'spite', 'mean-look', 'focus-energy', 'tackle', 'charm', 'mud-slap', 'dig', 'substitute', 'round', 'screech', 'last-resort', 'helping-hand', 'endure', 'baton-pass', 'natural-gift', 'giga-impact', 'light-screen', 'skill-swap', 'body-slam', 'take-down', 'shadow-ball', 'zap-cannon', 'nightmare'}",270,10,95,65,110,60,130,65
